"","mun","nat","nat_name","reg","reg_name","dep","dep_name","mun_name","PDET","mun_name_check","area","area_2"
"78",66456,1,"Colombia",2,"Eje cafetero y Antioquia",66,"Risaralda","Mistrató",0,"Mistrató",755,569.372978303885
"79",52678,1,"Colombia",3,"Pacífica",52,"Nariño","Samaniego",0,"Samaniego",765,605.520917481447
"80",54003,1,"Colombia",4,"Central",54,"Norte de Santander","Ábrego",0,"Abrego",917,1381.92974758232
"81",27660,1,"Colombia",3,"Pacífica",27,"Chocó","San José Del Palmar",0,"San José del Palmar",940,1584.39527886855
"82",52520,1,"Colombia",3,"Pacífica",52,"Nariño","Francisco Pizarro",1,"Francisco Pizarro",956,527.570340489445
"83",86001,1,"Colombia",6,"Amazonía",86,"Putumayo","Mocoa",1,"Mocoa",1030,1305.42647633015
"84",27495,1,"Colombia",3,"Pacífica",27,"Chocó","Nuquí",0,"Nuquí",1033,719.801157040623
"85",5154,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","Caucasia",1,"Caucasia",1058,1434.25998203591
"86",54128,1,"Colombia",4,"Central",54,"Norte de Santander","Cáchira",0,"Cachirá",1058,618.811265360017
"87",18860,1,"Colombia",6,"Amazonía",18,"Caquetá","Valparaíso",1,"Valparaíso",1080,1331.05070337372
"88",73616,1,"Colombia",4,"Central",73,"Tolima","Rioblanco",1,"Rioblanco",1136,2051.03245500195
"89",27491,1,"Colombia",3,"Pacífica",27,"Chocó","Nóvita",1,"Nóvita",1158,946.394713408587
"90",68655,1,"Colombia",4,"Central",68,"Santander","Sabana De Torres",0,"Sabana de Torres",1163,1405.25433674612
"91",52227,1,"Colombia",3,"Pacífica",52,"Nariño","Cumbal",0,"Cumbal",1265,910.363621780882
"92",27745,1,"Colombia",3,"Pacífica",27,"Chocó","Sipí",1,"Sipí",1274,1580.30594128721
"93",23466,1,"Colombia",1,"Caribe",23,"Córdoba","Montelíbano",1,"Montelíbano(1)(3)",1282,1551.79768406188
"94",20621,1,"Colombia",1,"Caribe",20,"Cesar","La Paz",1,"La Paz",1351,1076.36268891228
"95",73555,1,"Colombia",4,"Central",73,"Tolima","Planadas",1,"Planadas",1445,1765.02645276759
"96",68101,1,"Colombia",4,"Central",68,"Santander","Bolívar",0,"Bolívar",1491,1008.23307218587
"97",27025,1,"Colombia",3,"Pacífica",27,"Chocó","Alto Baudó",0,"Alto Baudo",1532,2046.57343308599
"98",5790,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","Tarazá",1,"Tarazá",1578,1148.47553666205
"99",52079,1,"Colombia",3,"Pacífica",52,"Nariño","Barbacoas",1,"Barbacoas",1877,2739.69664262197
"100",5250,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","El Bagre",1,"El Bagre",1951,1571.69322045029
"101",99624,1,"Colombia",5,"Llanos",99,"Vichada","Santa Rosalía",0,"Santa Rosalía",2018,3704.66185281713
"102",50577,1,"Colombia",5,"Llanos",50,"Meta","Puerto Lleras",1,"Puerto Lleras",2061,2549.86737642998
"103",23580,1,"Colombia",1,"Caribe",23,"Córdoba","Puerto Libertador",1,"Puerto Libertador",2062,1654.01952237292
"104",5361,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","Ituango",1,"Ituango",2375,2850.17100495808
"105",52612,1,"Colombia",3,"Pacífica",52,"Nariño","Ricaurte",1,"Ricaurte",2422,1061.24043578609
"106",18592,1,"Colombia",6,"Amazonía",18,"Caquetá","Puerto Rico",1,"Puerto Rico",2791,4156.57702660921
"107",19701,1,"Colombia",3,"Pacífica",19,"Cauca","Santa Rosa",0,"Santa Rosa",3009,3627.29842402416
"108",94343,1,"Colombia",6,"Amazonía",94,"Guainía","Barrancominas",0,"Barranco Minas (CD)",10290,14379.4316980592
"109",95025,1,"Colombia",6,"Amazonía",95,"Guaviare","El Retorno",1,"El Retorno",10434,12910.894290712
"110",50350,1,"Colombia",5,"Llanos",50,"Meta","La Macarena",1,"La Macarena",11231,8160.50748468126
"111",95001,1,"Colombia",6,"Amazonía",95,"Guaviare","San José Del Guaviare",1,"San José del Guaviare",13912,16808.5792512819
"112",95015,1,"Colombia",6,"Amazonía",95,"Guaviare","Calamar",1,"Calamar",16200,13124.9907778849
