mun,mun_name,gender,year,n_orp
5001,Medellín,Female,2015,0.8924890901779161
5002,Abejorral,Female,2015,0.5736179325966784
5004,Abriaquí,Female,2015,0
5021,Alejandría,Female,2015,0
5030,Amagá,Female,2015,0.4193842962374391
5031,Amalfi,Female,2015,1.7600452217622224
5034,Andes,Female,2015,1.5418489778222622
5036,Angelópolis,Female,2015,1.8268272528577734
5038,Angostura,Female,2015,0.542332295591846
5040,Anorí,Female,2015,1.4307906140135722
5042,Santa Fé De Antioquia,Female,2015,2.039514873337129
5044,Anzá,Female,2015,0.45351473922902497
5045,Apartadó,Female,2015,1.008833807600416
5051,Arboletes,Female,2015,0.844358513078795
5055,Argelia,Female,2015,1.6873820458492967
5059,Armenia,Female,2015,1.8544988540306082
5079,Barbosa,Female,2015,1.0523965716395811
5086,Belmira,Female,2015,0
5088,Bello,Female,2015,0.7034729808016202
5091,Betania,Female,2015,0.7088704243596917
5093,Betulia,Female,2015,1.1237409283545485
5101,Ciudad Bolívar,Female,2015,1.511973685831303
5107,Briceño,Female,2015,0.39882894765752913
5113,Buriticá,Female,2015,1.640100792843117
5120,Cáceres,Female,2015,1.272697757473157
5125,Caicedo,Female,2015,1.6019440849007707
5129,Caldas,Female,2015,0.7869881271823181
5134,Campamento,Female,2015,0.4331674976104299
5138,Cañasgordas,Female,2015,0.42101472279144037
5142,Caracolí,Female,2015,0.8758758758758758
5145,Caramanta,Female,2015,0
5147,Carepa,Female,2015,1.0741358232697962
5148,El Carmen De Viboral,Female,2015,0.5568855012864808
5150,Carolina,Female,2015,1.1612502934567528
5154,Caucasia,Female,2015,1.3329107973124674
5172,Chigorodó,Female,2015,0.8871592306773999
5190,Cisneros,Female,2015,0.8102623757508846
5197,Cocorná,Female,2015,0
5206,Concepción,Female,2015,0
5209,Concordia,Female,2015,0.9530496854936038
5212,Copacabana,Female,2015,0.7827202025080353
5234,Dabeiba,Female,2015,0.5512035784573852
5237,Donmatías,Female,2015,0.883554020573324
5240,Ebéjico,Female,2015,1.0335451403254863
5250,El Bagre,Female,2015,1.463317271633214
5264,Entrerríos,Female,2015,1.9126511983749062
5266,Envigado,Female,2015,0.45517304986271573
5282,Fredonia,Female,2015,0.7975204952629311
5284,Frontino,Female,2015,1.0964522857451193
5306,Giraldo,Female,2015,0.6867010113958976
5308,Girardota,Female,2015,0.6988790836815593
5310,Gómez Plata,Female,2015,1.5080259985515616
5313,Granada,Female,2015,0.322357618522308
5315,Guadalupe,Female,2015,0.5755330183617794
5318,Guarne,Female,2015,0.9840736090591998
5321,Guatapé,Female,2015,0.5686441450073987
5347,Heliconia,Female,2015,0.7160682612931145
5353,Hispania,Female,2015,0.7180018362014172
5360,Itagüí,Female,2015,0.740254816170054
5361,Ituango,Female,2015,2.074524766493363
5364,Jardín,Female,2015,1.875293128816769
5368,Jericó,Female,2015,0.3423492991434359
5376,La Ceja,Female,2015,1.1463487026759684
5380,La Estrella,Female,2015,0.6873717032046271
