mun,mun_name,gender,year,n_orp
5890,Yolombó,Female,2015,81.56653814339205
5893,Yondó,Female,2015,113.5470946008528
5895,Zaragoza,Female,2015,60.327010700862616
8001,Barranquilla,Female,2015,139.5312072923788
8078,Baranoa,Female,2015,71.03393843725335
8137,Campo De La Cruz,Female,2015,51.61313772438766
8141,Candelaria,Female,2015,150.8610962799288
8296,Galapa,Female,2015,96.20775176175907
8372,Juan De Acosta,Female,2015,0
8421,Luruaco,Female,2015,63.124560251373104
8433,Malambo,Female,2015,51.3192891616324
8436,Manatí,Female,2015,75.2461261380273
8520,Palmar De Varela,Female,2015,49.146045149742854
8549,Piojó,Female,2015,56.46637330114101
8558,Polonuevo,Female,2015,58.538317933224654
8560,Ponedera,Female,2015,12.418239944838996
8573,Puerto Colombia,Female,2015,65.18182862017085
8606,Repelón,Female,2015,22.75985910092195
8634,Sabanagrande,Female,2015,133.9997223494903
8638,Sabanalarga,Female,2015,42.89040684566885
8675,Santa Lucía,Female,2015,22.1179954222555
8685,Santo Tomás,Female,2015,49.641209805809005
8758,Soledad,Female,2015,75.32637175946114
8770,Suan,Female,2015,52.58536555803072
8832,Tubará,Female,2015,52.985069787293526
8849,Usiacurí,Female,2015,35.275096761550145
11001,"Bogotá, D.C.",Female,2015,94.84976668058633
13001,Cartagena De Indias,Female,2015,115.59146486932494
13006,Achí,Female,2015,39.79447139964586
13030,Altos Del Rosario,Female,2015,0
13042,Arenal,Female,2015,0
13052,Arjona,Female,2015,48.46314075929878
13062,Arroyohondo,Female,2015,36.92217159686721
13074,Barranco De Loba,Female,2015,78.76923076923077
13140,Calamar,Female,2015,49.43867029716067
13160,Cantagallo,Female,2015,37.50046058410385
13188,Cicuco,Female,2015,39.56025651703173
13212,Córdoba,Female,2015,0
13222,Clemencia,Female,2015,19.921315020334355
13244,El Carmen De Bolívar,Female,2015,73.34803467001576
13248,El Guamo,Female,2015,40.09310575722827
13268,El Peñón,Female,2015,0
13300,Hatillo De Loba,Female,2015,19.89509491948233
13430,Magangué,Female,2015,89.41221769110402
13433,Mahates,Female,2015,67.2864839423794
13440,Margarita,Female,2015,0
13442,María La Baja,Female,2015,44.5027159337402
13458,Montecristo,Female,2015,19.157088122605366
13468,Mompós,Female,2015,37.02346967787047
13473,Morales,Female,2015,14.643541097118039
13490,Norosí,Female,2015,0
13549,Pinillos,Female,2015,10.269945054813627
13580,Regidor,Female,2015,95.0524917393824
13600,Río Viejo,Female,2015,0
13620,San Cristóbal,Female,2015,41.45243170844926
13647,San Estanislao,Female,2015,17.718617283403745
13650,San Fernando,Female,2015,47.82737399039328
13654,San Jacinto,Female,2015,25.900124232799286
13655,San Jacinto Del Cauca,Female,2015,0
13657,San Juan Nepomuceno,Female,2015,44.65186480633623
13667,San Martín De Loba,Female,2015,48.92413734105721
13670,San Pablo,Female,2015,58.62763247039514
13673,Santa Catalina,Female,2015,20.00506544988176
13683,Santa Rosa,Female,2015,107.22043423095022
13688,Santa Rosa Del Sur,Female,2015,18.189789437158403
13744,Simití,Female,2015,32.20416210276506
13760,Soplaviento,Female,2015,109.73971242353687
13780,Talaigua Nuevo,Female,2015,41.03283662458968
