reg,reg_name,gender,n_orp
1,Caribe,Female,816.017609501563
1,Caribe,Male,2213.1739734568378
2,Eje cafetero y Antioquia,Female,944.1842810772251
2,Eje cafetero y Antioquia,Male,3380.922355341571
3,Pacífica,Female,1050.5804298464102
3,Pacífica,Male,3727.934175068182
4,Central,Female,911.2357913497494
4,Central,Male,2659.982307541964
5,Llanos,Female,1095.452889355617
5,Llanos,Male,3239.0205376681038
6,Amazonía,Female,978.2329190509749
6,Amazonía,Male,3308.349307611545
