nat,nat_name,gender,year,n_orp
1,Colombia,Female,2015,11988
1,Colombia,Female,2016,11904
1,Colombia,Female,2017,11755
1,Colombia,Female,2018,12255
1,Colombia,Female,2019,12373
1,Colombia,Female,2020,14316
1,Colombia,Female,2021,18108
1,Colombia,Male,2015,32434
1,Colombia,Male,2016,32446
1,Colombia,Male,2017,31190
1,Colombia,Male,2018,33367
1,Colombia,Male,2019,32953
1,Colombia,Male,2020,39831
1,Colombia,Male,2021,52513
