Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Arauca,201,0.882%,49,0.215%,152,0.667%
Arauquita,96,0.524%,16,0.087%,80,0.437%
Fortul,62,0.82%,23,0.304%,39,0.516%
Puerto Rondón,7,0.487%,1,0.07%,6,0.417%
Saravena,102,0.542%,16,0.085%,86,0.457%
Tame,149,0.959%,42,0.27%,107,0.688%
